,index,CashAndCashEquivalentsAtCarryingValue,MarketableSecuritiesCurrent,AccountsReceivableNetCurrent,InventoryNet,NontradeReceivablesCurrent,OtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesNoncurrent,PropertyPlantAndEquipmentNet,OtherAssetsNoncurrent,AssetsNoncurrent,Assets,AccountsPayableCurrent,OtherLiabilitiesCurrent,ContractWithCustomerLiabilityCurrent,CommercialPaper,LongTermDebtCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,OtherLiabilitiesNoncurrent,LiabilitiesNoncurrent,Liabilities,CommitmentsAndContingencies,CommonStocksIncludingAdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLossNetOfTax,StockholdersEquity,LiabilitiesAndStockholdersEquity
0,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,134047000000,
1,2018-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,107147000000,
2,2019-09-28,48844000000,51713000000,22926000000,4106000000,22878000000,12352000000,162819000000,105341000000,37378000000,32978000000,175697000000,338516000000,46236000000,37720000000,5522000000,5980000000,10260000000,105718000000,91807000000,50503000000,142310000000,248028000000,0.0,45174000000,45898000000,-584000000,90488000000,338516000000
3,2020-09-26,38016000000,52927000000,16120000000,4061000000,21325000000,11264000000,143713000000,100887000000,36766000000,42522000000,180175000000,323888000000,42296000000,42684000000,6643000000,4996000000,8773000000,105392000000,98667000000,54490000000,153157000000,258549000000,0.0,50779000000,14966000000,-406000000,65339000000,323888000000
